Entity,Code,Year,Renewable.Source,Terawatt.Hours
Algeria,DZA,2007,Others,0
Algeria,DZA,2008,Hydro,0.283
Algeria,DZA,2008,Solar,0
Algeria,DZA,2008,Wind,0
Algeria,DZA,2008,Others,0
Algeria,DZA,2009,Hydro,0.342
Algeria,DZA,2009,Solar,0
Algeria,DZA,2009,Wind,0
Algeria,DZA,2009,Others,0
Algeria,DZA,2010,Hydro,0.173
Algeria,DZA,2010,Solar,0.009
Algeria,DZA,2010,Wind,0
Algeria,DZA,2010,Others,0
Algeria,DZA,2011,Hydro,0.378
Algeria,DZA,2011,Solar,0.018
Algeria,DZA,2011,Wind,0
Algeria,DZA,2011,Others,0
Algeria,DZA,2012,Hydro,0.389
Algeria,DZA,2012,Solar,0.027
Algeria,DZA,2012,Wind,0
Algeria,DZA,2012,Others,0
Algeria,DZA,2013,Hydro,0.099
Algeria,DZA,2013,Solar,0.029
Algeria,DZA,2013,Wind,0
Algeria,DZA,2013,Others,0
Algeria,DZA,2014,Hydro,0.193
Algeria,DZA,2014,Solar,0.06
Algeria,DZA,2014,Wind,0.001
Algeria,DZA,2014,Others,0
Algeria,DZA,2015,Hydro,0.145
Algeria,DZA,2015,Solar,0.058
Algeria,DZA,2015,Wind,0.019
Algeria,DZA,2015,Others,0
Algeria,DZA,2016,Hydro,0.072
Algeria,DZA,2016,Solar,0.245
Algeria,DZA,2016,Wind,0.019
Algeria,DZA,2016,Others,0
Algeria,DZA,2017,Hydro,0.056
Algeria,DZA,2017,Solar,0.504
Algeria,DZA,2017,Wind,0.019
Algeria,DZA,2017,Others,0
Algeria,DZA,2018,Hydro,0.117
Algeria,DZA,2018,Solar,0.603
Algeria,DZA,2018,Wind,0.01
Algeria,DZA,2018,Others,0
Argentina,ARG,1965,Hydro,1.211
Argentina,ARG,1965,Solar,0
Argentina,ARG,1965,Wind,0
Argentina,ARG,1965,Others,0
Argentina,ARG,1966,Hydro,1.229
Argentina,ARG,1966,Solar,0
Argentina,ARG,1966,Wind,0
Argentina,ARG,1966,Others,0
Argentina,ARG,1967,Hydro,1.255
Argentina,ARG,1967,Solar,0
Argentina,ARG,1967,Wind,0
Argentina,ARG,1967,Others,0
Argentina,ARG,1968,Hydro,1.48
Argentina,ARG,1968,Solar,0
Argentina,ARG,1968,Wind,0
Argentina,ARG,1968,Others,0
Argentina,ARG,1969,Hydro,1.326
Argentina,ARG,1969,Solar,0
Argentina,ARG,1969,Wind,0
Argentina,ARG,1969,Others,0
Argentina,ARG,1970,Hydro,1.516
Argentina,ARG,1970,Solar,0
Argentina,ARG,1970,Wind,0
Argentina,ARG,1970,Others,0.048
Argentina,ARG,1971,Hydro,1.525
Argentina,ARG,1971,Solar,0
Argentina,ARG,1971,Wind,0
Argentina,ARG,1971,Others,0.05
Argentina,ARG,1972,Hydro,1.485
Argentina,ARG,1972,Solar,0
Argentina,ARG,1972,Wind,0
Argentina,ARG,1972,Others,0.064
Argentina,ARG,1973,Hydro,2.961
Argentina,ARG,1973,Solar,0
Argentina,ARG,1973,Wind,0
Argentina,ARG,1973,Others,0.049
Argentina,ARG,1974,Hydro,4.972
Argentina,ARG,1974,Solar,0
Argentina,ARG,1974,Wind,0
Argentina,ARG,1974,Others,0.05
Argentina,ARG,1975,Hydro,5.135
Argentina,ARG,1975,Solar,0
Argentina,ARG,1975,Wind,0
Argentina,ARG,1975,Others,0.055
Argentina,ARG,1976,Hydro,4.941
Argentina,ARG,1976,Solar,0
Argentina,ARG,1976,Wind,0
Argentina,ARG,1976,Others,0.05
Argentina,ARG,1977,Hydro,5.705
Argentina,ARG,1977,Solar,0
Argentina,ARG,1977,Wind,0
Argentina,ARG,1977,Others,0.054
Argentina,ARG,1978,Hydro,7.663
Argentina,ARG,1978,Solar,0
Argentina,ARG,1978,Wind,0
Argentina,ARG,1978,Others,0.054
Argentina,ARG,1979,Hydro,10.536
Argentina,ARG,1979,Solar,0
Argentina,ARG,1979,Wind,0
Argentina,ARG,1979,Others,0.084
Argentina,ARG,1980,Hydro,14.973
Argentina,ARG,1980,Solar,0
Argentina,ARG,1980,Wind,0
Argentina,ARG,1980,Others,0.086
Argentina,ARG,1981,Hydro,14.5
Argentina,ARG,1981,Solar,0
Argentina,ARG,1981,Wind,0
Argentina,ARG,1981,Others,0.075
Argentina,ARG,1982,Hydro,17.496
Argentina,ARG,1982,Solar,0
Argentina,ARG,1982,Wind,0
Argentina,ARG,1982,Others,0.096
Argentina,ARG,1983,Hydro,18.208
Argentina,ARG,1983,Solar,0
Argentina,ARG,1983,Wind,0
Argentina,ARG,1983,Others,0.137
Argentina,ARG,1984,Hydro,19.649
Argentina,ARG,1984,Solar,0
Argentina,ARG,1984,Wind,0
Argentina,ARG,1984,Others,0.097
Argentina,ARG,1985,Hydro,20.656
Argentina,ARG,1985,Solar,0
Argentina,ARG,1985,Wind,0
Argentina,ARG,1985,Others,0.103
Argentina,ARG,1986,Hydro,21.009
